連番,索引番号,表示山名,表示よみ,地理院山名,山頂名,標高(m),種別,都道府県,緯度,経度,百名山,二百名山,三百名山,百高山,別名(検索用),照合方法,確認状態,備考
431,402,火打山,ひうちやま,火打山,,2462,三角点,新潟県,36.922702,138.068122,1,,,,,百名山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
432,403,妙高山,みょうこうさん,妙高山,,2454,標高点,新潟県,36.891260,138.113457,1,,,,,百名山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
433,404,黒姫山,くろひめやま,黒姫山,,2053,標高点,長野県,36.813474,138.127183,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
434,405,高妻山,たかつまやま,高妻山,,2353,三角点,新潟県 長野県,36.800046,138.051934,1,,,,,百名山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
435,406,戸隠山,とがくしやま,戸隠山,,1904,標高点,長野県,36.770389,138.055110,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
436,407,飯縄山,いいづなやま,飯縄山,,1917,三角点,長野県,36.739437,138.133694,,1,,,飯縄山（飯綱山）/飯綱山,二百名山:自動(名前一致・標高一致・距離0.0km・県一致),自動一致,
437,408,虫倉山,むしくらやま,虫倉山,,1378,標高点,長野県,36.649806,138.018948,,,,,,,その他,
438,409,聖山,ひじりやま,聖山,,1447,三角点,長野県,36.484201,138.021415,,,,,,,その他,
439,410,冠着山（姨捨山）,かむりきやま（おばすてやま）,冠着山,,1252,三角点,長野県,36.468797,138.106660,,,,,姨捨山,,その他,
440,411,美ヶ原,うつくしがはら,美ヶ原,王ヶ頭,2034,三角点,長野県,36.225796,138.107445,1,,,,王ヶ頭,百名山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
441,412,鉢伏山,はちぶせやま,鉢伏山,,1929,三角点,長野県,36.163046,138.059154,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
442,413,霧ヶ峰,きりがみね,霧ヶ峰,車山,1925,三角点,長野県,36.102894,138.196669,1,,,,車山,百名山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
443,414,蓼科山,たてしなやま,蓼科山,,2531,三角点,長野県,36.103729,138.295071,1,,,,,百名山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
444,415,横岳,よこだけ,横岳,,2480,標高点,長野県,36.087440,138.320056,,,,,,,その他,
445,416,縞枯山,しまがれやま,縞枯山,,2403,標高点,長野県,36.075319,138.331549,,,,,,,その他,
446,417,天狗岳,てんぐだけ,天狗岳,,2646,三角点,長野県,36.019171,138.355453,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
447,418,峰の松目,みねのまつめ,峰の松目,,2568,三角点,長野県,35.996860,138.350526,,,,,,,その他,
448,419,硫黄岳,いおうだけ,硫黄岳,,2760,標高点,長野県,35.998776,138.369968,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
449,420,横岳,よこだけ,横岳,,2830,測定点,長野県,35.985965,138.372841,,,,1,,百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
450,421,八ヶ岳,やつがたけ,赤岳,,2899,三角点,長野県 山梨県,35.970797,138.370067,1,,,1,赤岳,百名山:自動(標高一致・県一致) / 百高山:自動(名前一致・よみ一致・標高一致・県一致),目視確認済,百名山: 八ヶ岳の最高点=赤岳2899m
451,422,阿弥陀岳,あみだだけ,阿弥陀岳,,2805,標高点,長野県,35.972453,138.358797,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
452,423-1,権現岳,ごんげんだけ,権現岳,,2715,標高点,山梨県,35.949802,138.359742,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
453,423-2,権現岳（西岳）,ごんげんだけ（にしだけ）,権現岳,西岳,2398,標高点,長野県,35.950099,138.335031,,,,,権現岳/西岳,,その他,
454,423-3,権現岳（三ッ頭）,ごんげんだけ（みつがしら）,権現岳,三ッ頭,2580,標高点,山梨県,35.942263,138.363961,,,,,権現岳/三ッ頭,,その他,
455,424,編笠山,あみがさやま,編笠山,,2524,三角点,山梨県 長野県,35.941696,138.345057,,,,,,,その他,
456,425,黒姫山,くろひめやま,黒姫山,,1221,三角点,新潟県,36.976628,137.790069,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
457,426,明星山,みょうじょうさん,明星山,,1188,三角点,新潟県,36.940895,137.821852,,,,,,,その他,
458,427,犬ヶ岳,いぬがたけ,犬ヶ岳,,1592,三角点,新潟県 富山県,36.906887,137.715599,,,,,,,その他,
459,428,朝日岳,あさひだけ,朝日岳,,2418,三角点,新潟県 富山県,36.826738,137.729884,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
460,429,雪倉岳,ゆきくらだけ,雪倉岳,,2611,三角点,新潟県 富山県,36.794644,137.754036,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
461,430,鉢ヶ岳,はちがだけ,鉢ヶ岳,,2563,標高点,新潟県 富山県,36.780197,137.749502,,,,,,,その他,
462,431,小蓮華山,これんげさん,小蓮華山,,2766,測定点,新潟県 長野県,36.773521,137.775970,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
463,432,乗鞍岳,のりくらだけ,乗鞍岳,,2469,標高点,新潟県 長野県,36.788274,137.799157,,,,,,,その他,
464,433,風吹岳,かざふきだけ,風吹岳,,1888,標高点,長野県,36.814216,137.839021,,,,,,,その他,
465,434,白馬岳,しろうまだけ,白馬岳,,2932,三角点,富山県 長野県,36.758510,137.758555,1,,,1,,百名山:自動(名前一致・よみ一致・標高一致・県一致) / 百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
466,435,旭岳,あさひだけ,旭岳,,2867,標高点,富山県,36.757603,137.745854,,,,1,,百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
467,436,清水岳,しょうずだけ,清水岳,,2603,標高点,富山県,36.764724,137.718944,,,,,,,その他,
468,437,杓子岳,しゃくしだけ,杓子岳,,2812,標高点,富山県 長野県,36.740596,137.759288,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
469,438,白馬鑓ヶ岳,はくばやりがたけ,鑓ヶ岳,,2903,三角点,富山県 長野県,36.731353,137.755357,,,,1,鑓ヶ岳,百高山:自動(名前部分一致・標高一致・県一致),目視確認済,百高山: 表記違い: 白馬鑓ヶ岳=鑓ヶ岳2903m
470,439,唐松岳,からまつだけ,唐松岳,,2696,三角点,富山県 長野県,36.687234,137.754685,,,1,1,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致) / 百高山:自動(名前一致・よみ一致・標高一致),自動一致,
471,440,五竜岳,ごりゅうだけ,五龍岳,,2814,標高点,富山県,36.658407,137.752691,1,,,1,五龍岳,百名山:自動(名前一致・よみ一致・標高一致・県一致) / 百高山:自動(名前一致・よみ一致・標高一致),自動一致,
472,441,鹿島槍岳,かしまやりだけ,鹿島槍ヶ岳,,2889,三角点,富山県 長野県,36.624553,137.747058,1,,,1,鹿島槍ヶ岳,百名山:自動(標高一致・県一致) / 百高山:自動(名前一致・よみ一致・標高一致・県一致),目視確認済,百名山: 表記違い: 鹿島槍岳=鹿島槍ヶ岳
473,442,爺ヶ岳,じいがたけ,爺ヶ岳,,2670,三角点,富山県 長野県,36.588301,137.750922,,,1,1,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致) / 百高山:自動(名前一致・よみ一致・標高一致),自動一致,
474,443,岩小屋沢岳,いわこやざわだけ,岩小屋沢岳,,2630,三角点,富山県 長野県,36.577009,137.713385,,,,,,,その他,
475,444,鳴沢岳,なるさわだけ,鳴沢岳,,2641,標高点,富山県 長野県,36.568794,137.695448,,,,,,,その他,
476,445,赤沢岳,あかさわだけ,赤沢岳,,2678,三角点,富山県 長野県,36.561954,137.687554,,,,1,,百高山:自動(名前一致・標高一致),自動一致,
477,446,スバリ岳,すばりだけ,スバリ岳,,2752,標高点,富山県 長野県,36.544364,137.684855,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
478,447,針ノ木岳,はりのきだけ,針ノ木岳,,2821,三角点,富山県 長野県,36.538077,137.684427,,1,,1,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致) / 百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
479,448,蓮華岳,れんげだけ,蓮華岳,,2799,三角点,富山県 長野県,36.535747,137.710543,,,1,1,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致) / 百高山:自動(名前一致・よみ一致・標高一致),自動一致,
480,449,北葛岳,きたくずだけ,北葛岳,,2551,標高点,富山県 長野県,36.517660,137.705546,,,,,,,その他,
481,450,不動岳,ふどうだけ,不動岳,,2601,標高点,富山県 長野県,36.495459,137.667455,,,,,,,その他,
482,451,南沢岳,みなみさわだけ,南沢岳,,2625,三角点,富山県 長野県,36.489886,137.653133,,,,,,,その他,
483,452,烏帽子岳,えぼしだけ,烏帽子岳,,2628,標高点,富山県 長野県,36.479510,137.650918,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
484,453,三ツ岳,みつだけ,三ッ岳,,2845,三角点,富山県 長野県,36.454773,137.649436,,,,1,三ッ岳,百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
485,454,野口五郎岳,のぐちごろうだけ,野口五郎岳,,2924,三角点,富山県 長野県,36.432683,137.637903,,,1,1,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致) / 百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
486,455,南真砂岳,まさごだけ,南真砂岳,,2713,標高点,長野県,36.413473,137.641746,,,,1,,百高山:自動(名前一致・標高一致),自動一致,
487,456,赤牛岳,あかうしだけ,赤牛岳,,2864,三角点,富山県,36.461590,137.603289,,1,,1,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致) / 百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
488,457,黒岳,くろだけ,水晶岳,,2986,標高点,富山県,36.426363,137.602779,1,,,1,水晶岳（黒岳）,百名山:手動 / 百高山:自動(名前一致・標高一致・県一致),手動指定,百名山: 百名山の黒岳=水晶岳(黒岳)2986m
489,458,祖父岳,じいだけ,祖父岳,,2825,標高点,富山県,36.411172,137.591183,,,,1,,百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
490,459,鷲羽岳,わしばだけ,鷲羽岳,,2924,三角点,富山県 長野県,36.402996,137.605250,1,,,1,,百名山:自動(名前一致・よみ一致・標高一致・県一致) / 百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
491,460,三俣蓮華岳,みつまたれんげだけ,三俣蓮華岳,,2841,三角点,富山県 岐阜県 長野県,36.389989,137.587734,,,1,1,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致) / 百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
492,461,僧ヶ岳,そうがだけ,僧ヶ岳,,1855,三角点,富山県,36.761720,137.563713,,,,,,,その他,
493,462,毛勝山,けかちやま,毛勝山,,2414,三角点,富山県,36.701111,137.590844,,1,,,,二百名山:自動(名前一致・標高一致・距離0.0km・県一致),自動一致,
494,463,猫又山,ねこまたやま,猫又山,,2378,三角点,富山県,36.681223,137.590383,,,,,,,その他,
495,464,池平山,いけのだいらやま,池平山,,2561,標高点,富山県,36.641447,137.625404,,,,,,,その他,
496,465,剱岳,つるぎだけ,剱岳,,2999,測定点,富山県,36.623248,137.616878,1,,,1,,百名山:自動(名前一致・よみ一致・標高一致・県一致) / 百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
497,466,別山,べっさん,別山,,2880,標高点,富山県,36.597537,137.620403,,,,1,,百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
498,467,剣御前,つるぎごぜん,剱御前,,2777,三角点,富山県,36.602429,137.608842,,,,1,剱御前,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
499,468,奥大日岳,おくだいにちだけ,奥大日岳,,2611,標高点,富山県,36.598373,137.580978,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
500,469,大日岳,だいにちだけ,大日岳,,2501,標高点,富山県,36.599456,137.549885,,,,,,,その他,
501,470,真砂岳,まさごだけ,真砂岳,,2861,標高点,富山県,36.586688,137.619969,,,,1,,百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
502,471,立山本峰,たてやま,立山,大汝山,3015,標高点,富山県,36.575959,137.619808,1,,,1,立山/大汝山/立山（大汝山）,百名山:自動(名前部分一致・よみ一致・標高一致・県一致) / 百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
503,472,国見岳,くにみだけ,国見岳,,2621,三角点,富山県,36.571238,137.589759,,,,,,,その他,
504,473-1,龍王岳,りゅうおうだけ,龍王岳,,2872,標高点,富山県,36.564724,137.607190,,,,1,,百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
505,473-2,龍王岳（浄土山）,りゅうおうだけ（じょうどさん）,龍王岳,浄土山,2831,標高点,富山県,36.568474,137.603709,,,,,龍王岳/浄土山,,その他,
506,474,鷲岳,わしだけ,鷲岳,,2617,標高点,富山県,36.541850,137.587149,,,,,,,その他,
507,475,鳶山,とんびやま,鳶山,,2616,標高点,富山県,36.534249,137.586020,,,,,,,その他,
508,476,越中沢岳,えっちゅうざわだけ,越中沢岳,,2592,三角点,富山県,36.515037,137.583009,,,,,,,その他,
509,477,鍬崎山,くわさきやま,鍬崎山,,2090,三角点,富山県,36.539915,137.478028,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
510,478,薬師岳,やくしだけ,薬師岳,,2926,三角点,富山県,36.468841,137.544800,1,,,1,,百名山:自動(名前一致・よみ一致・標高一致・県一致) / 百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
511,479,北ノ俣岳（上ノ岳）,きたのまただけ（かみのだけ）,北ノ俣岳,,2662,標高点,富山県 岐阜県,36.421042,137.512379,,,,,上ノ岳,,その他,
512,480,黒部五郎岳,くろべごろうだけ,黒部五郎岳,,2840,三角点,富山県 岐阜県,36.392550,137.539948,1,,,1,黒部五郎岳（中ノ俣岳）/中ノ俣岳,百名山:自動(名前一致・標高一致・県一致) / 百高山:自動(名前一致・標高一致・県一致),自動一致,
513,481,双六岳,すごろくだけ,双六岳,,2860,三角点,長野県 岐阜県,36.371857,137.587134,,,,1,,百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
514,482,樅沢岳,もみさわだけ,樅沢岳,,2755,標高点,長野県 岐阜県,36.366573,137.607869,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
515,483,弓折岳,ゆみおりだけ,弓折岳,,2592,標高点,岐阜県,36.349536,137.596538,,,,,,,その他,
516,484,抜戸岳,ぬけどだけ,抜戸岳,,2813,三角点,岐阜県,36.327665,137.575135,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
