連番,索引番号,山名＜山頂名＞,山名よみ＜山頂名よみ＞,標高値(m),種別,都道府県,緯度,経度
272,254,太郎山,たろうさん,2368,三角点,栃木県,36.817874,139.48278
273,255,男体山,なんたいさん,2486,測定点,栃木県,36.764951,139.490684
274,256,白根山,しらねさん,2578,標高点,群馬県 栃木県,36.798602,139.375921
275,257,皇海山,すかいさん,2144,三角点,栃木県 群馬県,36.689863,139.336965
276,258,庚申山,こうしんざん,1892,標高点,栃木県,36.673091,139.36128
277,259,袈裟丸山,けさまるやま,1961,標高点,栃木県 群馬県,36.649389,139.327503
278,260,横根山,よこねやま,1373,三角点,栃木県,36.619807,139.522277
279,261-1,赤城山＜黒檜山＞,あかぎさん＜くろびさん＞,1828,三角点,群馬県,36.560367,139.19327
280,261-2,赤城山＜地蔵岳＞,あかぎさん＜じぞうだけ＞,1674,三角点,群馬県,36.540999,139.177351
281,262,博士山,はかせやま,1482,三角点,福島県,37.363165,139.714751
282,263,小野岳,おのだけ,1383,三角点,福島県,37.325919,139.886589
283,264,七ヶ岳,ななつがだけ,1636,三角点,福島県,37.124279,139.657482
284,265,荒海山（太郎岳）,あらかいやま（たろうだけ）,1581,標高点,福島県 栃木県,37.036071,139.643769
285,266,田代山,たしろやま,1971,標高点,福島県,36.974394,139.47855
286,267,帝釈山,たいしゃくさん,2060,三角点,福島県 栃木県,36.969811,139.459994
287,268,黒岩山,くろいわやま,2163,三角点,栃木県 群馬県,36.908751,139.393636
288,269,鬼怒沼山,きぬぬまやま,2141,三角点,栃木県 群馬県,36.882676,139.371703
289,270,会津朝日岳,あいづあさひだけ,1624,三角点,福島県,37.221148,139.339661
290,271,丸山岳,まるやまだけ,1820,三角点,福島県,37.172743,139.334858
291,272,駒ヶ岳,こまがたけ,2133,測定点,福島県,37.047574,139.353543
292,273,平ヶ岳,ひらがたけ,2141,標高点,群馬県 新潟県,37.002089,139.170919
293,274,景鶴山,けいづるやま,2004,標高点,群馬県 新潟県,36.956884,139.210582
294,275,燧ヶ岳＜柴安嵓＞,ひうちがたけ＜しばやすぐら＞,2356,測定点,福島県,36.955102,139.285334
295,276,至仏山,しぶつさん,2228,三角点,群馬県,36.903474,139.173248
296,277,武尊山,ほたかやま,2158,三角点,群馬県,36.805189,139.132601
297,278,御神楽岳,みかぐらだけ,1386,三角点,新潟県,37.521877,139.425864
298,279,粟ヶ岳,あわがたけ,1292,三角点,新潟県,37.555199,139.188723
299,280,矢筈岳,やはずだけ,1257,三角点,新潟県,37.512363,139.266065
300,281,守門岳,すもんだけ,1537,三角点,新潟県,37.397687,139.136567
301,282,浅草岳,あさくさだけ,1585,三角点,新潟県 福島県,37.343588,139.233574
302,283,毛猛山,けもうやま,1517,三角点,福島県 新潟県,37.256704,139.175144
303,284,未丈ヶ岳,みじょうがたけ,1553,三角点,新潟県,37.183319,139.189485
304,285,駒ヶ岳,こまがたけ,2003,三角点,新潟県,37.12362,139.075249
305,286,八海山＜入道岳＞,はっかいさん＜にゅうどうだけ＞,1778,標高点,新潟県,37.103952,139.023999
306,287,中ノ岳,なかのたけ,2085,三角点,新潟県,37.085261,139.077584
